# protools/abhack/attrTabCompletion.txt is a list of ABL attribute and methods to use on TAB in Seb's AppBuilder Hack
# lines that begins with '#' are ignored
# This file is reloaded each time you recheck its corresponding toggle-box





FRAME-ROW                   FILL-IN,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
FRAME-SPACING               SESSION
FRAME-X                     FILL-IN,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
FRAME-Y                     FILL-IN,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
FULL-PATHNAME               FILE-INFO
FUNCTION                    LAST-EVENT
GET-BLUE-VALUE()            COLOR-TABLE
GET-BROWSE-COLUMN()         BROWSE
GET-BUFFER-HANDLE()         QUERY
GET-CURRENT()               QUERY
GET-DROPPED-FILE()          FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
GET-DYNAMIC()               COLOR-TABLE
GET-FIRST()                 QUERY
GET-GREEN-VALUE()           COLOR-TABLE
GET-LAST()                  QUERY
GET-MESSAGE()               ERROR-STATUS
GET-NEXT()                  QUERY
GET-NUMBER()                ERROR-STATUS
GET-PREV()                  QUERY
GET-PRINTERS()              SESSION
GET-RED-VALUE()             COLOR-TABLE
GET-REPOSITIONED-ROW()      BROWSE
GET-RGB-VALUE()             COLOR-TABLE
GET-SIGNATURE()             PROCEDURE
GET-TEXT-HEIGHT-CHARS()     FONT-TABLE
GET-TEXT-HEIGHT-PIXELS()    FONT-TABLE
GET-TEXT-WIDTH-CHARS()      FONT-TABLE
