FIRST-ASYNC-REQUEST         SESSION,SERVER
FIRST-BUFFER                SESSION
FIRST-CHILD                 FRAME,WINDOW,DIALOG-BOX,MENU,SUB-MENU,SESSION
FIRST-COLUMN                BROWSE
FIRST-DATA-SOURCE           SESSION
FIRST-DATASET               SESSION
FIRST-OBJECT                SESSION
FIRST-OF()                  QUERY
FIRST-PROCEDURE             SESSION
FIRST-QUERY                 SESSION
FIRST-SERVER                SESSION
FIRST-SERVER-SOCKET         SESSION
FIRST-SOCKET                SESSION
FIT-LAST-COLUMN             BROWSE
FLAT-BUTTON                 BUTTON
FOCUSED-ROW                 BROWSE
FOCUSED-ROW-SELECTED        BROWSE
FONT                        FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
FORMAT                      FILL-IN,BUFFER-FIELD,BROWSE-COLUMN,COMBO-BOX,TEXT,TOGGLE-BOX
FORMATTED                   SAX-WRITER
FORWARD-ONLY                QUERY
FRAGMENT                    SAX-WRITER
FRAME                       FILL-IN,FRAME,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
FRAME-COL                   FILL-IN,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
FRAME-NAME                  FILL-IN,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
FRAME-ROW                   FILL-IN,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
FRAME-SPACING               SESSION
FRAME-X                     FILL-IN,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
FRAME-Y                     FILL-IN,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
FULL-PATHNAME               FILE-INFO
FUNCTION                    LAST-EVENT
GET-BLUE-VALUE()            COLOR-TABLE
GET-BROWSE-COLUMN()         BROWSE
GET-BUFFER-HANDLE()         QUERY,DATASET
GET-CALLBACK-PROC-CONTEXT() BUFFER,QUERY,DATASET
GET-CALLBACK-PROC-NAME()    BUFFER,QUERY,DATASET
GET-CHANGES()               BUFFER,DATASET
GET-CHILD-RELATION()        BUFFER
GET-COLUMN()                COMPILER
GET-CURRENT()               QUERY
GET-DROPPED-FILE()          FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
GET-DYNAMIC()               COLOR-TABLE
GET-ERROR-COLUMN()          COMPILER
GET-ERROR-ROW()             COMPILER
GET-FILE-NAME()             COMPILER
GET-FILE-OFFSET()           COMPILER
GET-FIRST()                 QUERY
GET-GREEN-VALUE()           COLOR-TABLE
GET-INDEX-BY-NAMESPACE-NAME() SAX-ATTRIBUTES
GET-INDEX-BY-QNAME()        SAX-ATTRIBUTES
GET-LAST()                  QUERY
GET-LOCALNAME-BY-INDEX()    SAX-ATTRIBUTES
GET-MESSAGE()               ERROR-STATUS,COMPILER
GET-MESSAGE-TYPE()          COMPILER
GET-NEXT()                  QUERY
GET-NUMBER()                ERROR-STATUS,COMPILER
GET-PREV()                  QUERY
GET-PRINTERS()              SESSION
GET-QNAME-BY-INDEX()        SAX-ATTRIBUTES
GET-RED-VALUE()             COLOR-TABLE
GET-RELATION()              DATASET
GET-REPOSITIONED-ROW()      BROWSE
GET-RGB-VALUE()             COLOR-TABLE
GET-ROW()                   COMPILER
GET-SIGNATURE()             PROCEDURE
GET-TEXT-HEIGHT-CHARS()     FONT-TABLE
GET-TEXT-HEIGHT-PIXELS()    FONT-TABLE
GET-TEXT-WIDTH-CHARS()      FONT-TABLE
GET-TEXT-WIDTH-PIXELS()     FONT-TABLE
GET-TOP-BUFFER()            DATASET
GET-TYPE-BY-INDEX()         SAX-ATTRIBUTES
GET-TYPE-BY-NAMESPACE-NAME() SAX-ATTRIBUTES
GET-URI-BY-INDEX()          SAX-ATTRIBUTES
GET-VALUE-BY-INDEX()        SAX-ATTRIBUTES
GET-VALUE-BY-NAMESPACE-NAME() SAX-ATTRIBUTES
GET-VALUE-BY-QNAME()        SAX-ATTRIBUTES
HANDLE                      FILL-IN,BUFFER,BUFFER-FIELD,TEMP-TABLE,PROCEDURE,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU,QUERY,CALL,X-DOCUMENT,X-NODEREF,SAX-READER,SAX-WRITER,SAX-ATTRIBUTES,DATA-SOURCE,DATASET,DATA-RELATION,FILE-INFO,SESSION,ERROR-STATUS,COMPILER,LAST-EVENT,COLOR-TABLE,FONT-TABLE,DEBUGGER,RCODE-INFO,CLIPBOARD
HANDLER                     SAX-READER
HAS-LOBS                    BUFFER
HAS-RECORDS                 TEMP-TABLE
HEIGHT-CHARS                FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,SESSION
HEIGHT-PIXELS               FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,SESSION
